"","date","Economic","Diplomacy","Immigration","All"
"1","2016-01",17,11,12,40
"2","2016-02",27,4,13,44
"3","2016-03",30,10,6,46
"4","2016-04",15,5,4,24
"5","2016-05",27,11,9,47
"6","2016-06",23,13,11,47
"7","2016-07",39,9,16,64
"8","2016-08",32,8,10,50
"9","2016-09",13,6,7,26
"10","2016-10",40,9,14,63
"11","2016-11",11,5,6,22
"12","2016-12",11,15,1,27
"13","2017-01",27,10,8,45
"14","2017-02",11,16,10,37
"15","2017-03",30,7,2,39
"16","2017-04",22,16,10,48
"17","2017-06",31,10,5,46
"18","2017-07",49,18,10,77
"19","2017-08",35,10,16,61
"20","2017-09",43,31,7,81
"21","2017-10",61,8,6,75
"22","2017-11",59,39,17,115
"23","2017-12",52,2,11,65
"24","2018-01",31,19,35,85
"25","2018-02",31,8,28,67
"26","2018-03",44,15,17,76
"27","2018-04",54,44,31,129
"28","2018-05",42,38,18,98
"29","2018-06",76,46,48,170
"30","2018-07",63,45,37,145
"31","2018-08",66,28,17,111
"32","2018-09",63,23,21,107
"33","2018-10",61,27,43,131
"34","2018-11",57,27,41,125
"35","2018-12",57,43,59,159